,zone,province,type,2545,2547,2549,2550,2552,2554,2556,2558,2560,group
0,ภาคกลาง,กรุงเทพมหานคร,หนี้สินทั้งสิ้น,162199.23,160775.93,158059,155396,207665,218741.4,275576.8,164705.6,202699.85,4
1,ภาคกลาง,กรุงเทพมหานคร,เพื่อใช้จ่ายในครัวเรือน,117724.88,37388.46,31693,38184,44146,57018.3,72056.7,52384.4,65061.29,2
2,ภาคกลาง,กรุงเทพมหานคร,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,44118.82,31081.73,48960,27517,51720,15421.8,16311.5,12717.4,10537.76,0
3,ภาคกลาง,กรุงเทพมหานคร,เพื่อใช้ทำการเกษตร,85.69,445.82,1189,3298,600,1273.0,709.8,310.9,10.8,3
4,ภาคกลาง,กรุงเทพมหานคร,เพื่อใช้ในการศึกษา,0.0,0.0,4362,4953,5249,4287.7,3099.1,1229.9,2261.56,3
5,ภาคกลาง,กรุงเทพมหานคร,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,86207.61,68779,67457,102121,136961.9,180382.5,97246.0,123080.32,1
6,ภาคกลาง,กรุงเทพมหานคร,อื่น ๆ,269.82,5652.28,3076,13986,3830,3778.9,3017.1,817.0,1748.11,3
7,ภาคกลาง,สมุทรปราการ,หนี้สินทั้งสิ้น,84345.14,78750.16,95975,85904,117361,115168.8,207741.1,87647.2,179803.61,1
8,ภาคกลาง,สมุทรปราการ,เพื่อใช้จ่ายในครัวเรือน,71284.0,23850.24,21393,31960,33028,41836.5,59330.2,40380.0,41492.81,0
9,ภาคกลาง,สมุทรปราการ,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,11070.68,9221.45,5249,3570,6909,2895.4,14035.8,1981.9,3025.7,3
10,ภาคกลาง,สมุทรปราการ,เพื่อใช้ทำการเกษตร,1969.19,4083.22,1353,1054,1312,420.0,92.5,0.0,212.26,3
11,ภาคกลาง,สมุทรปราการ,เพื่อใช้ในการศึกษา,0.0,0.0,1292,2729,1201,461.7,124.4,160.1,568.94,3
12,ภาคกลาง,สมุทรปราการ,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,40699.08,60788,46590,74700,69555.1,134158.2,45125.2,134503.89,2
13,ภาคกลาง,สมุทรปราการ,อื่น ๆ,21.26,896.15,5899,0,211,0.0,0.0,0.0,0.0,3
14,ภาคกลาง,นนทบุรี,หนี้สินทั้งสิ้น,145908.08,203040.52,179007,196895,240769,258853.4,260752.2,277605.7,288940.49,4
15,ภาคกลาง,นนทบุรี,เพื่อใช้จ่ายในครัวเรือน,123235.7,57416.23,46911,56804,44818,60604.7,46697.0,58402.3,79697.04,2
16,ภาคกลาง,นนทบุรี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,16763.51,24695.27,18128,21192,58783,18680.6,26538.6,9718.1,39565.04,0
17,ภาคกลาง,นนทบุรี,เพื่อใช้ทำการเกษตร,5786.2,4445.56,513,1850,584,0.0,1700.4,0.0,742.99,3
18,ภาคกลาง,นนทบุรี,เพื่อใช้ในการศึกษา,0.0,0.0,4455,2655,871,191.8,1701.0,1522.1,2793.66,3
19,ภาคกลาง,นนทบุรี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,114107.15,106558,113310,135712,178498.6,182600.4,207012.8,165168.33,1
20,ภาคกลาง,นนทบุรี,อื่น ๆ,122.65,2376.29,2441,1083,0,877.7,1514.7,950.4,973.44,3
21,ภาคกลาง,ปทุมธานี,หนี้สินทั้งสิ้น,232245.16,145014.63,193153,152187,220761,145293.0,386957.4,221748.2,294901.2,4
22,ภาคกลาง,ปทุมธานี,เพื่อใช้จ่ายในครัวเรือน,202470.29,38629.18,62558,59297,54539,75798.0,113850.3,95829.0,97569.99,2
23,ภาคกลาง,ปทุมธานี,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,11721.22,17641.63,14324,18587,26072,20994.1,13199.2,7377.0,8647.09,3
24,ภาคกลาง,ปทุมธานี,เพื่อใช้ทำการเกษตร,17650.64,5389.23,14705,4284,6479,1882.8,905.7,6846.5,6242.83,3
25,ภาคกลาง,ปทุมธานี,เพื่อใช้ในการศึกษา,0.0,0.0,3682,1394,1615,448.4,1237.5,858.0,2690.12,3
26,ภาคกลาง,ปทุมธานี,เพื่อใช้ซื้อ/เช่าซื้อบ้านและที่ดิน,0.0,82034.13,97834,66390,132028,46111.5,257560.0,110837.8,179751.17,1
27,ภาคกลาง,ปทุมธานี,อื่น ๆ,403.0,1320.43,50,2235,28,58.1,204.6,0.0,0.0,3
28,ภาคกลาง,พระนครศรีอยุธยา,หนี้สินทั้งสิ้น,26106.92,49446.03,53222,54762,163425,81609.4,106260.1,216815.6,234446.06,1
29,ภาคกลาง,พระนครศรีอยุธยา,เพื่อใช้จ่ายในครัวเรือน,18929.07,11290.61,14872,16215,40267,38747.6,42108.2,75176.7,89837.6,2
30,ภาคกลาง,พระนครศรีอยุธยา,เพื่อใช้ทำธุรกิจที่ไม่ใช่การเกษตร,4123.19,7266.48,8563,13185,15206,8478.2,2319.8,41558.3,6440.03,3
31,ภาคกลาง,พระนครศรีอยุธยา,เพื่อใช้ทำการเกษตร,3039.13,9620.2,9156,5518,5705,6924.6,4330.9,16499.6,9751.71,3
